Time,Xen41-QVD,Xen41-QVD,Xen41-QVD,Xen41+10,Xen41+10,Xen41+10,Xen41+100,Xen41+100,Xen41+100,Xen41+20mg,Xen41+20mg,Xen41+20mg
0.000000000,78.000000000,68.000000000,60.000000000,77.000000,71.000000,59.000000,57.000000,65.000000,55.000000,71.000000,68.000000000,77.000000
0.333333333,78.000000000,60.000000000,55.000000000,89.000000,81.000000,80.000000,72.000000,86.000000,61.000000,81.000000,60.000000000,89.000000
0.666666667,134.000000000,114.000000000,119.000000000,100.000000,99.000000,98.000000,103.000000,102.000000,103.000000,99.000000,114.000000000,100.000000
1.000000000,225.000000000,209.000000000,188.000000000,188.000000,175.000000,177.000000,180.000000,169.000000,175.000000,175.000000,209.000000000,188.000000
1.333333333,395.000000000,346.000000000,319.000000000,360.000000,343.000000,295.000000,320.000000,313.000000,288.000000,343.000000,346.000000000,360.000000
1.666666667,685.000000000,631.000000000,567.000000000,565.000000,587.000000,555.000000,594.000000,558.000000,488.000000,587.000000,631.000000000,565.000000
2.000000000,1053.000000000,1013.000000000,926.000000000,1016.000000,1026.000000,971.000000,969.000000,938.000000,899.000000,1026.000000,1013.000000000,1016.000000
2.333333333,1472.000000000,1420.000000000,1267.000000000,1346.000000,1309.000000,1259.000000,1267.000000,1242.000000,1203.000000,1309.000000,1420.000000000,1346.000000
2.666666667,1711.000000000,1709.000000000,1617.000000000,1641.000000,1603.000000,1528.000000,1592.000000,1479.000000,1422.000000,1603.000000,1709.000000000,1641.000000
3.000000000,2459.000000000,2386.000000000,2321.000000000,2323.000000,2205.000000,2132.000000,2145.000000,2070.000000,2032.000000,2205.000000,2386.000000000,2323.000000
3.333333333,3988.000000000,3766.000000000,3803.000000000,3670.000000,3544.000000,3314.000000,3656.000000,3315.000000,3269.000000,3544.000000,3766.000000000,3670.000000
3.666666667,6096.000000000,6018.000000000,5819.000000000,5788.000000,5619.000000,5317.000000,5499.000000,5275.000000,5292.000000,5619.000000,6018.000000000,5788.000000
4.000000000,6615.000000000,6610.000000000,5880.000000000,6603.000000,6451.000000,6023.000000,6318.000000,6230.000000,6283.000000,6451.000000,6610.000000000,6603.000000
4.333333333,6636.000000000,6346.000000000,5684.000000000,6320.000000,6310.000000,5703.000000,6033.000000,6167.000000,5886.000000,6310.000000,6346.000000000,6320.000000
4.666666667,6312.000000000,6336.000000000,5490.000000000,6287.000000,6343.000000,5845.000000,6173.000000,6054.000000,5968.000000,6343.000000,6336.000000000,6287.000000
5.000000000,5889.000000000,5826.000000000,5292.000000000,6082.000000,5886.000000,5542.000000,5787.000000,5928.000000,5843.000000,5886.000000,5826.000000000,6082.000000
5.333333333,5560.000000000,5464.000000000,4844.000000000,5513.000000,5533.000000,5177.000000,5414.000000,5466.000000,5377.000000,5533.000000,5464.000000000,5513.000000
5.666666667,5029.000000000,4894.000000000,4324.000000000,4963.000000,5083.000000,4599.000000,4779.000000,4947.000000,4753.000000,5083.000000,4894.000000000,4963.000000
6.000000000,4769.000000000,4671.000000000,3881.000000000,4666.000000,4710.000000,4371.000000,4652.000000,4733.000000,4465.000000,4710.000000,4671.000000000,4666.000000
6.333333333,4457.000000000,4184.000000000,3480.000000000,4294.000000,4317.000000,4013.000000,4584.000000,4465.000000,4367.000000,4317.000000,4184.000000000,4294.000000
6.666666667,3550.000000000,3324.000000000,2717.000000000,3609.000000,3515.000000,3343.000000,3705.000000,3751.000000,3470.000000,3515.000000,3324.000000000,3609.000000
7.000000000,2788.000000000,2566.000000000,2545.000000000,2742.000000,2781.000000,2433.000000,3702.000000,3425.000000,3277.000000,2781.000000,2566.000000000,2742.000000
7.333333333,2788.000000000,2620.000000000,2643.000000000,2767.000000,2547.000000,2519.000000,3215.000000,2937.000000,2970.000000,2547.000000,2620.000000000,2767.000000
7.666666667,2705.000000000,2562.000000000,2496.000000000,2632.000000,2461.000000,2429.000000,2960.000000,2917.000000,2883.000000,2461.000000,2562.000000000,2632.000000
8.000000000,2563.000000000,2444.000000000,2364.000000000,2408.000000,2342.000000,2224.000000,2759.000000,2600.000000,2661.000000,2342.000000,2444.000000000,2408.000000
8.333333333,2371.000000000,2294.000000000,2237.000000000,2304.000000,2174.000000,2103.000000,2516.000000,2346.000000,2397.000000,2174.000000,2294.000000000,2304.000000
8.666666667,2114.000000000,2034.000000000,2043.000000000,2079.000000,1958.000000,1887.000000,2270.000000,2169.000000,2178.000000,1958.000000,2034.000000000,2079.000000
9.000000000,1992.000000000,1907.000000000,1980.000000000,1940.000000,1765.000000,1790.000000,2093.000000,1966.000000,1987.000000,1765.000000,1907.000000000,1940.000000
9.333333333,1953.000000000,1732.000000000,1839.000000000,1823.000000,1657.000000,1662.000000,1988.000000,1811.000000,1873.000000,1657.000000,1732.000000000,1823.000000
9.666666667,1855.000000000,1553.000000000,1711.000000000,1715.000000,1561.000000,1557.000000,1859.000000,1665.000000,1718.000000,1561.000000,1553.000000000,1715.000000
10.000000000,1745.000000000,1502.000000000,1585.000000000,1661.000000,1476.000000,1491.000000,1730.000000,1526.000000,1645.000000,1476.000000,1502.000000000,1661.000000