Time,LAC-QVD,LAC-QVD,LAC-QVD,LAC+10,LAC+10,LAC+10,LAC+100,LAC+100,LAC+100,"LAC+ 20mg","LAC+ 20mg","LAC+ 20mg"
0.000000000,320.000000000,321.000000000,319.000000000,291.000000,292.000000,305.000000,300.000000,333.000000,306.000000,297.000000,310.000000,331.000000
0.333333333,284.000000000,285.000000000,275.000000000,267.000000,284.000000,279.000000,279.000000,294.000000,274.000000,285.000000,296.000000,290.000000
0.666666667,189.000000000,192.000000000,181.000000000,195.000000,180.000000,176.000000,199.000000,185.000000,185.000000,190.000000,203.000000,192.000000
1.000000000,181.000000000,182.000000000,160.000000000,187.000000,168.000000,164.000000,184.000000,184.000000,167.000000,195.000000,172.000000,169.000000
1.333333333,191.000000000,183.000000000,185.000000000,183.000000,186.000000,175.000000,181.000000,174.000000,176.000000,196.000000,184.000000,175.000000
1.666666667,206.000000000,202.000000000,205.000000000,196.000000,175.000000,209.000000,204.000000,209.000000,192.000000,201.000000,210.000000,187.000000
2.000000000,231.000000000,235.000000000,226.000000000,232.000000,227.000000,220.000000,216.000000,231.000000,223.000000,230.000000,232.000000,232.000000
2.333333333,242.000000000,250.000000000,243.000000000,245.000000,229.000000,247.000000,248.000000,251.000000,234.000000,244.000000,253.000000,257.000000
2.666666667,282.000000000,245.000000000,266.000000000,250.000000,259.000000,253.000000,265.000000,274.000000,262.000000,278.000000,261.000000,264.000000
3.000000000,284.000000000,273.000000000,284.000000000,261.000000,272.000000,279.000000,279.000000,298.000000,280.000000,272.000000,298.000000,268.000000
3.333333333,296.000000000,305.000000000,291.000000000,297.000000,307.000000,305.000000,301.000000,312.000000,302.000000,296.000000,289.000000,306.000000
3.666666667,323.000000000,296.000000000,313.000000000,317.000000,302.000000,305.000000,312.000000,315.000000,299.000000,302.000000,336.000000,318.000000
4.000000000,340.000000000,341.000000000,314.000000000,326.000000,317.000000,327.000000,312.000000,311.000000,321.000000,333.000000,327.000000,326.000000
4.333333333,345.000000000,329.000000000,339.000000000,334.000000,357.000000,337.000000,350.000000,308.000000,331.000000,337.000000,351.000000,339.000000
4.666666667,356.000000000,360.000000000,339.000000000,365.000000,345.000000,325.000000,342.000000,347.000000,350.000000,357.000000,348.000000,351.000000
5.000000000,340.000000000,361.000000000,350.000000000,362.000000,360.000000,365.000000,349.000000,350.000000,336.000000,348.000000,350.000000,343.000000
5.333333333,372.000000000,363.000000000,355.000000000,369.000000,354.000000,353.000000,361.000000,361.000000,358.000000,377.000000,357.000000,357.000000
5.666666667,372.000000000,345.000000000,376.000000000,371.000000,363.000000,365.000000,355.000000,382.000000,366.000000,367.000000,375.000000,376.000000
6.000000000,375.000000000,356.000000000,362.000000000,357.000000,391.000000,379.000000,387.000000,363.000000,363.000000,364.000000,373.000000,360.000000
6.333333333,360.000000000,362.000000000,374.000000000,373.000000,373.000000,368.000000,367.000000,377.000000,366.000000,370.000000,393.000000,388.000000
6.666666667,361.000000000,372.000000000,386.000000000,374.000000,365.000000,361.000000,377.000000,382.000000,380.000000,381.000000,388.000000,372.000000
7.000000000,387.000000000,374.000000000,370.000000000,377.000000,368.000000,377.000000,376.000000,382.000000,383.000000,371.000000,362.000000,374.000000
7.333333333,384.000000000,391.000000000,375.000000000,398.000000,382.000000,414.000000,389.000000,390.000000,405.000000,392.000000,387.000000,375.000000
7.666666667,404.000000000,363.000000000,378.000000000,385.000000,404.000000,393.000000,411.000000,409.000000,401.000000,378.000000,397.000000,404.000000
8.000000000,398.000000000,408.000000000,408.000000000,407.000000,412.000000,404.000000,410.000000,413.000000,408.000000,400.000000,414.000000,395.000000
8.333333333,399.000000000,415.000000000,425.000000000,404.000000,381.000000,431.000000,379.000000,416.000000,425.000000,422.000000,416.000000,430.000000
8.666666667,427.000000000,422.000000000,439.000000000,422.000000,393.000000,427.000000,421.000000,411.000000,426.000000,429.000000,420.000000,431.000000
9.000000000,425.000000000,449.000000000,444.000000000,434.000000,438.000000,444.000000,433.000000,450.000000,439.000000,447.000000,439.000000,451.000000
9.333333333,443.000000000,437.000000000,454.000000000,455.000000,436.000000,449.000000,434.000000,425.000000,462.000000,438.000000,468.000000,452.000000
9.666666667,458.000000000,459.000000000,467.000000000,449.000000,451.000000,460.000000,453.000000,462.000000,427.000000,482.000000,455.000000,465.000000
10.000000000,452.000000000,473.000000000,459.000000000,462.000000,461.000000,494.000000,488.000000,466.000000,485.000000,460.000000,481.000000,486.000000