Time,LAC::lux - QVDOPH,LAC::lux - QVDOPH,LAC::lux - QVDOPH,minQVD,LAC::lux +10ug/mL QVDOPH,LAC::lux +10ug/mL QVDOPH,LAC::lux +10ug/mL QVDOPH,10ug/mL QVD,LAC::lux +100ug/mL QVDOPH,LAC::lux +100ug/mL QVDOPH,LAC::lux +100ug/mL QVDOPH,100ug/ml QVD,LAC::lux + 20mg/kg (35gms) QVDOPH ,LAC::lux + 20mg/kg (35gms) QVDOPH ,LAC::lux + 20mg/kg (35gms) QVDOPH ,20mg/kg QVD
0,0.05,0.05,0.046,0.048666667,0.053,0.049,0.047,0.049666667,0.05,0.049,0.044,0.047666667,0.049,0.044,0.053,0.048666667
0.333333333,0.063,0.061,0.059,0.061,0.065,0.062,0.059,0.062,0.062,0.061,0.054,0.059,0.062,0.054,0.065,0.060333333
0.666666667,0.091,0.091,0.09,0.090666667,0.093,0.091,0.09,0.091333333,0.091,0.09,0.081,0.087333333,0.091,0.081,0.093,0.088333333
1,0.14,0.143,0.144,0.142333333,0.146,0.144,0.142,0.144,0.141,0.141,0.131,0.137666667,0.144,0.131,0.146,0.140333333
1.333333333,0.217,0.214,0.22,0.217,0.224,0.219,0.219,0.220666667,0.218,0.217,0.207,0.214,0.219,0.207,0.224,0.216666667
1.666666667,0.307,0.302,0.321,0.31,0.315,0.312,0.315,0.314,0.31,0.309,0.31,0.309666667,0.312,0.31,0.315,0.312333333
2,0.41,0.41,0.454,0.424666667,0.422,0.437,0.427,0.428666667,0.411,0.421,0.419,0.417,0.437,0.419,0.422,0.426
2.333333333,0.515,0.521,0.599,0.545,0.537,0.547,0.554,0.546,0.516,0.529,0.528,0.524333333,0.547,0.528,0.537,0.537333333
2.666666667,0.622,0.629,0.734,0.661666667,0.642,0.651,0.707,0.666666667,0.622,0.639,0.642,0.634333333,0.651,0.642,0.642,0.645
3,0.725,0.734,0.845,0.768,0.74,0.746,0.842,0.776,0.728,0.747,0.77,0.748333333,0.746,0.77,0.74,0.752
3.333333333,0.81,0.823,0.943,0.858666667,0.834,0.833,0.931,0.866,0.829,0.837,0.879,0.848333333,0.833,0.879,0.834,0.848666667
3.666666667,0.882,0.892,1.012,0.928666667,0.912,0.904,1,0.938666667,0.905,0.916,0.971,0.930666667,0.904,0.971,0.912,0.929
4,0.943,0.943,1.072,0.986,0.973,0.962,1.056,0.997,0.973,0.983,1.049,1.001666667,0.962,1.049,0.973,0.994666667
4.333333333,0.988,0.995,1.11,1.031,1.025,1.01,1.111,1.048666667,1.03,1.041,1.104,1.058333333,1.01,1.104,1.025,1.046333333
4.666666667,1.028,1.033,1.151,1.070666667,1.062,1.048,1.14,1.083333333,1.075,1.089,1.144,1.102666667,1.048,1.144,1.062,1.084666667
5,1.056,1.056,1.172,1.094666667,1.085,1.075,1.161,1.107,1.102,1.122,1.168,1.130666667,1.075,1.168,1.085,1.109333333
5.333333333,1.076,1.079,1.188,1.114333333,1.105,1.093,1.179,1.125666667,1.109,1.128,1.181,1.139333333,1.093,1.181,1.105,1.126333333
5.666666667,1.087,1.09,1.197,1.124666667,1.116,1.105,1.185,1.135333333,1.116,1.144,1.191,1.150333333,1.105,1.191,1.116,1.137333333
6,1.09,1.093,1.197,1.126666667,1.115,1.107,1.189,1.137,1.119,1.149,1.195,1.154333333,1.107,1.195,1.115,1.139
6.333333333,1.098,1.096,1.204,1.132666667,1.117,1.115,1.193,1.141666667,1.13,1.147,1.2,1.159,1.115,1.2,1.117,1.144
6.666666667,1.101,1.1,1.206,1.135666667,1.122,1.116,1.193,1.143666667,1.134,1.149,1.198,1.160333333,1.116,1.198,1.122,1.145333333
7,1.102,1.102,1.207,1.137,1.13,1.121,1.195,1.148666667,1.135,1.153,1.205,1.164333333,1.121,1.205,1.13,1.152
7.333333333,1.107,1.106,1.209,1.140666667,1.135,1.124,1.197,1.152,1.141,1.158,1.206,1.168333333,1.124,1.206,1.135,1.155
7.666666667,1.107,1.105,1.212,1.141333333,1.138,1.128,1.201,1.155666667,1.148,1.162,1.208,1.172666667,1.128,1.208,1.138,1.158
8,1.11,1.111,1.212,1.144333333,1.143,1.126,1.204,1.157666667,1.153,1.16,1.212,1.175,1.126,1.212,1.143,1.160333333
8.333333333,1.116,1.113,1.213,1.147333333,1.149,1.132,1.205,1.162,1.16,1.172,1.217,1.183,1.132,1.217,1.149,1.166
8.666666667,1.119,1.113,1.213,1.148333333,1.151,1.133,1.205,1.163,1.165,1.167,1.215,1.182333333,1.133,1.215,1.151,1.166333333
9,1.119,1.115,1.213,1.149,1.153,1.139,1.209,1.167,1.17,1.178,1.223,1.190333333,1.139,1.223,1.153,1.171666667
9.333333333,1.121,1.115,1.214,1.15,1.158,1.138,1.207,1.167666667,1.179,1.174,1.221,1.191333333,1.138,1.221,1.158,1.172333333
9.666666667,1.123,1.116,1.213,1.150666667,1.161,1.142,1.211,1.171333333,1.183,1.175,1.223,1.193666667,1.142,1.223,1.161,1.175333333
10,1.127,1.115,1.215,1.152333333,1.163,1.145,1.212,1.173333333,1.198,1.18,1.225,1.201,1.145,1.225,1.163,1.177666667